non-inclusive,inclusive,Category
"Don't mind her, she's just being hysterical about the situation.","Don't mind her, she's just upset about the situation.",Gender
His hysterical reaction to the news was unexpected.,His emotional reaction to the news was unexpected.,Gender
The CEO dismissed her as hysterical when she raised her concerns.,The CEO dismissed her as emotional when she raised her concerns.,Gender
The team thought her response was hysterical and over-the-top.,The team thought her response was emotional and intense.,Gender
She was too bossy during the meeting.,She was very assertive during the meeting.,Gender
His bossy attitude turned people off.,His confident attitude helped guide the team.,Gender
I found her to be bossy in how she handled the project.,I found her to be confident in how she handled the project.,Gender
He was acting bossy when giving out assignments.,He was being assertive when giving out assignments.,Gender
Her bossy nature meant she always took charge.,Her assertive nature meant she always took charge.,Gender
Her voice was so shrill during the meeting.,Her voice was very high-pitched during the meeting.,Gender
He dismissed her argument because it sounded shrill.,He dismissed her argument because it sounded high-pitched.,Gender
The shrill protests were hard to ignore.,The expressive protests were hard to ignore.,Gender
She became shrill when she got excited.,She became expressive when she got excited.,Gender
The feedback she gave was shrill and difficult to understand.,The feedback she gave was high-pitched and difficult to understand.,Gender
Single mothers often struggle to balance work and family.,Single parents often face challenges balancing work and family.,Gender
